Fecha,Noticia,Impacto USD/COP,Impacto SPX 500,Impacto XAU/USD,URL,País,Mejor a lo esperado
1/7/2020,Se disipan las tensiones de una guerra entre Estados Unidos e Irán,Hace que baje,Positivo acciones,Negativo Oro,,Estados Unidos,
1/8/2020,Irán ataca base Estadounidense en Iraq,Hace que suba,Baje,Suba,,,
1/9/2020,"Según el Banco Mundial, este año el producto interno bruto (PIB) del país se expandirá 3,6% y el siguiente año lo hará a un ritmo del 3,9%, según su informe de Perspectivas Económicas Globales dado a conocer este miércoles. A nivel global prevé un avance del 2,5 por ciento este año –levemente por encima del 2,4 por ciento del 2019–",Hace que baje,,,,,
1/10/2020,Nóminas de empleo no agricola peor a lo esperado (145K vs 160K esperado),Hace que baje,,,,Estados Unidos,Peor
1/13/2020,Datos pesimistas para la libra,Hace que suba,,Posititvo hace que el oro suba,,Reino Unido,
1/14/2020,"El jefe de comercio exterior de la unión europea viaja a Washigton para hablar con el secretario Robert Leghthizer, luego de que estados unidos amenazara imponer tarifas a bienes franceses debido a la “tasa Google”. ",Hace que suba,Negativo,Positivo,,,
1/14/2020,"Estados Unidos retira a China de su lista de manipuladores de divisas antes de la firma de la Fase 1, dando señales de una alta posibilidad de firma de la fase 1. ",Hace que baje,Positivo acciones,Negativo Oro,,,
1/14/2020,"IPC Estados Unidos pero a lo esperado, se encuentra en el 2.3%. Se esperaba 2.4%",Hace que suba,Hace que baje,Hace que suba,,Estados Unidos,
1/15/2020,Se firma el acuerdo comercial fase 1,Hace que baje,Positivo,Negativo,,,
1/16/2020,Salió el dato de retail sales para Estados Unidos igual a lo esperado,Neutral,Positivo,Negativo,,,
1/16/2020,PIB de China sale igual a lo esperado. Marca cambio de tendencia de crecimiento o senales de recuperación,Neutral,Neutral,Neutral,,,
1/17/2020,IPC de Europa sale igual a lo esperado en 1.3% (todavía no se acerca al 2%),Neutral,Neutral,Neutral,,Europa,Peor
1/17/2020,Datos del sentimiento del consumidor de la Universidad de Michigan sale en 99.3 igual a lo esperado,Neutral,Neutral,Neutral,,Estados Unidos,Igual
