DATE,ASSET,UNDERLYING,OPEN,HIGH,LOW,CLOSE,SETTLE
39815,USD/ARS,USD/ARS,3.4564,3.4593,3.4562,3.4574,3.4574
39818,USD/ARS,USD/ARS,3.4595,3.4661,3.4495,3.45,3.45
39819,USD/ARS,USD/ARS,3.4465,3.4541,3.446,3.4528,3.4528
39820,USD/ARS,USD/ARS,3.4564,3.4585,3.4529,3.4534,3.4534
39821,USD/ARS,USD/ARS,3.4556,3.4565,3.4484,3.45,3.45
39822,USD/ARS,USD/ARS,3.449,3.4515,3.4459,3.4487,3.4487
39825,USD/ARS,USD/ARS,3.4505,3.4517,3.4484,3.449,3.449
39826,USD/ARS,USD/ARS,3.4504,3.453,3.4463,3.4476,3.4476
39827,USD/ARS,USD/ARS,3.4513,3.4525,3.4483,3.4501,3.4501
39828,USD/ARS,USD/ARS,3.4504,3.4541,3.4494,3.4533,3.4533
39829,USD/ARS,USD/ARS,3.4535,3.4566,3.4528,3.4553,3.4553
39832,USD/ARS,USD/ARS,3.4577,3.459,3.4536,3.456,3.456
39833,USD/ARS,USD/ARS,3.4565,3.4625,3.4543,3.4601,3.4601
39834,USD/ARS,USD/ARS,3.462,3.4708,3.4578,3.47,3.47
39835,USD/ARS,USD/ARS,3.4745,3.4764,3.4713,3.475,3.475
39836,USD/ARS,USD/ARS,3.479,3.4798,3.476,3.477,3.477
39839,USD/ARS,USD/ARS,3.4835,3.4875,3.4806,3.4826,3.4826
39840,USD/ARS,USD/ARS,3.48,3.4848,3.4788,3.4848,3.4848
39841,USD/ARS,USD/ARS,3.4835,3.4893,3.4815,3.4893,3.4893
39842,USD/ARS,USD/ARS,3.487,3.4895,3.485,3.4852,3.4852
39843,USD/ARS,USD/ARS,3.4865,3.4888,3.4855,3.4885,3.4885
39846,USD/ARS,USD/ARS,3.487,3.492,3.4865,3.4903,3.4903
39847,USD/ARS,USD/ARS,3.4919,3.501,3.4919,3.4982,3.4982
39848,USD/ARS,USD/ARS,3.4945,3.4988,3.4855,3.49,3.49
39849,USD/ARS,USD/ARS,3.4869,3.4891,3.4845,3.486,3.486
39850,USD/ARS,USD/ARS,3.4847,3.488,3.4846,3.486,3.486
39853,USD/ARS,USD/ARS,3.486,3.4891,3.4857,3.487,3.487
39854,USD/ARS,USD/ARS,3.4885,3.49,3.4835,3.4838,3.4838
39855,USD/ARS,USD/ARS,3.4845,3.4905,3.4842,3.4883,3.4883
39856,USD/ARS,USD/ARS,3.4925,3.4974,3.4894,3.4902,3.4902
39857,USD/ARS,USD/ARS,3.493,3.4958,3.4887,3.4955,3.4955
39860,USD/ARS,USD/ARS,3.4935,3.4975,3.4935,3.4945,3.4945
39861,USD/ARS,USD/ARS,3.4979,3.505,3.4965,3.505,3.505
39862,USD/ARS,USD/ARS,3.5035,3.512,3.5035,3.5091,3.5091
39863,USD/ARS,USD/ARS,3.5169,3.535,3.5157,3.5341,3.5341
39864,USD/ARS,USD/ARS,3.5367,3.542,3.5341,3.5367,3.5367
39867,USD/ARS,USD/ARS,3.5395,3.5487,3.539,3.5473,3.5473
39868,USD/ARS,USD/ARS,3.5465,3.559,3.5455,3.5555,3.5555
39869,USD/ARS,USD/ARS,3.5518,3.5565,3.5509,3.5535,3.5535
39870,USD/ARS,USD/ARS,3.5528,3.5596,3.5525,3.5574,3.5574
39871,USD/ARS,USD/ARS,3.556,3.5692,3.556,3.565,3.565
39874,USD/ARS,USD/ARS,3.5718,3.6125,3.57,3.6,3.6
39875,USD/ARS,USD/ARS,3.6095,3.6208,3.6065,3.611,3.611
39876,USD/ARS,USD/ARS,3.6125,3.6188,3.6117,3.6158,3.6158
39877,USD/ARS,USD/ARS,3.6212,3.6361,3.621,3.6289,3.6289
39878,USD/ARS,USD/ARS,3.627,3.6385,3.6248,3.6385,3.6385
39881,USD/ARS,USD/ARS,3.637,3.6423,3.6323,3.6367,3.6367
39882,USD/ARS,USD/ARS,3.6385,3.642,3.6356,3.6357,3.6357
39883,USD/ARS,USD/ARS,3.6365,3.6437,3.636,3.6435,3.6435
39884,USD/ARS,USD/ARS,3.6475,3.6505,3.6435,3.6452,3.6452
39885,USD/ARS,USD/ARS,3.6477,3.6515,3.6455,3.65,3.65
39888,USD/ARS,USD/ARS,3.6518,3.6535,3.6355,3.641,3.641
39889,USD/ARS,USD/ARS,3.6468,3.6488,3.6442,3.646,3.646
39890,USD/ARS,USD/ARS,3.6493,3.66,3.6481,3.658,3.658
39891,USD/ARS,USD/ARS,3.6555,3.6595,3.6435,3.6475,3.6475
39892,USD/ARS,USD/ARS,3.6553,3.658,3.6495,3.6572,3.6572
39895,USD/ARS,USD/ARS,3.659,3.6897,3.6574,3.6875,3.6875
39896,USD/ARS,USD/ARS,3.6698,3.6875,3.6698,3.6855,3.6855
39897,USD/ARS,USD/ARS,3.6847,3.6895,3.6845,3.6885,3.6885
39898,USD/ARS,USD/ARS,3.6871,3.7087,3.6865,3.6945,3.6945
39899,USD/ARS,USD/ARS,3.702,3.719,3.6985,3.7152,3.7152
39902,USD/ARS,USD/ARS,3.7163,3.718,3.7135,3.7152,3.7152
39903,USD/ARS,USD/ARS,3.7113,3.723,3.711,3.7185,3.7185
39904,USD/ARS,USD/ARS,3.717,3.7235,3.7105,3.7117,3.7117
39905,USD/ARS,USD/ARS,3.7086,3.711,3.7078,3.7102,3.7102
39906,USD/ARS,USD/ARS,3.7026,3.7052,3.6918,3.693,3.693
39909,USD/ARS,USD/ARS,3.6867,3.6895,3.6723,3.675,3.675
39910,USD/ARS,USD/ARS,3.6741,3.6757,3.6711,3.6739,3.6739
39911,USD/ARS,USD/ARS,3.6763,3.6793,3.6738,3.6775,3.6775
39912,USD/ARS,USD/ARS,3.6718,3.6733,3.6718,3.6726,3.6726
39913,USD/ARS,USD/ARS,3.6713,3.674,3.6713,3.6725,3.6725
39916,USD/ARS,USD/ARS,3.6785,3.681,3.6761,3.6801,3.6801
39917,USD/ARS,USD/ARS,3.6835,3.6862,3.6775,3.6775,3.6775
39918,USD/ARS,USD/ARS,3.677,3.6785,3.6742,3.6754,3.6754
39919,USD/ARS,USD/ARS,3.6772,3.6795,3.6741,3.6746,3.6746
39920,USD/ARS,USD/ARS,3.6769,3.6845,3.6764,3.6811,3.6811
39923,USD/ARS,USD/ARS,3.6865,3.6897,3.6849,3.6872,3.6872
39924,USD/ARS,USD/ARS,3.6829,3.6938,3.6753,3.6918,3.6918
39925,USD/ARS,USD/ARS,3.693,3.6991,3.692,3.6946,3.6946
39926,USD/ARS,USD/ARS,3.698,3.6995,3.6943,3.6952,3.6952
39927,USD/ARS,USD/ARS,3.6951,3.698,3.6948,3.6957,3.6957
39930,USD/ARS,USD/ARS,3.701,3.7041,3.6995,3.7016,3.7016
39931,USD/ARS,USD/ARS,3.7109,3.7175,3.71,3.7155,3.7155
39932,USD/ARS,USD/ARS,3.7195,3.7246,3.7195,3.7215,3.7215
39933,USD/ARS,USD/ARS,3.7238,3.7269,3.7126,3.7135,3.7135
39937,USD/ARS,USD/ARS,3.7012,3.702,3.6813,3.6951,3.6951
39938,USD/ARS,USD/ARS,3.693,3.7005,3.6913,3.6985,3.6985
39939,USD/ARS,USD/ARS,3.6994,3.7115,3.699,3.7102,3.7102
39940,USD/ARS,USD/ARS,3.7125,3.7216,3.711,3.7215,3.7215
39941,USD/ARS,USD/ARS,3.7243,3.7248,3.7077,3.7204,3.7204
39944,USD/ARS,USD/ARS,3.721,3.7213,3.7157,3.7195,3.7195
39945,USD/ARS,USD/ARS,3.7192,3.7225,3.718,3.7197,3.7197
39946,USD/ARS,USD/ARS,3.7213,3.7256,3.719,3.7237,3.7237
39947,USD/ARS,USD/ARS,3.7245,3.7275,3.722,3.7256,3.7256
39948,USD/ARS,USD/ARS,3.7285,3.7313,3.7274,3.7283,3.7283
39951,USD/ARS,USD/ARS,3.7289,3.7313,3.721,3.7256,3.7256
39952,USD/ARS,USD/ARS,3.7275,3.7295,3.7253,3.728,3.728
39953,USD/ARS,USD/ARS,3.7296,3.7325,3.7282,3.7319,3.7319
39954,USD/ARS,USD/ARS,3.7324,3.737,3.7315,3.736,3.736
39955,USD/ARS,USD/ARS,3.7388,3.7388,3.7245,3.7365,3.7365
39959,USD/ARS,USD/ARS,3.741,3.7425,3.7205,3.7395,3.7395
39960,USD/ARS,USD/ARS,3.739,3.7425,3.7361,3.738,3.738
39961,USD/ARS,USD/ARS,3.7395,3.7455,3.7337,3.7385,3.7385
39962,USD/ARS,USD/ARS,3.746,3.7495,3.7438,3.7483,3.7483
39965,USD/ARS,USD/ARS,3.7491,3.7509,3.7343,3.7439,3.7439
39966,USD/ARS,USD/ARS,3.744,3.7455,3.7306,3.743,3.743
39967,USD/ARS,USD/ARS,3.7428,3.7445,3.7411,3.7435,3.7435
39968,USD/ARS,USD/ARS,3.7455,3.7475,3.7203,3.7422,3.7422
39969,USD/ARS,USD/ARS,3.741,3.7585,3.7403,3.7555,3.7555
39972,USD/ARS,USD/ARS,3.7575,3.76,3.7555,3.7579,3.7579
39973,USD/ARS,USD/ARS,3.7591,3.7626,3.7564,3.7606,3.7606
39974,USD/ARS,USD/ARS,3.7593,3.7636,3.757,3.7618,3.7618
39975,USD/ARS,USD/ARS,3.7624,3.7664,3.746,3.7512,3.7512
39976,USD/ARS,USD/ARS,3.7596,3.7763,3.7591,3.7719,3.7719
39979,USD/ARS,USD/ARS,3.7635,3.7709,3.7601,3.7613,3.7613
39980,USD/ARS,USD/ARS,3.7674,3.7824,3.7639,3.7779,3.7779
39981,USD/ARS,USD/ARS,3.7685,3.7702,3.764,3.768,3.768
39982,USD/ARS,USD/ARS,3.7695,3.7695,3.7653,3.7655,3.7655
